"variable name","title","element type","version","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","Item Response OID","Element OID","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information","creation date","last change date","administrative status","CAT OID","Form Item OID"
"LasikGLCLCLSEScl","Glasses contacts close up","Unique Data Element","1.0","How much of the time do you expect to use glasses or contact lenses to see things up close after healing from LASIK surgery?","How much of the time do you expect to use glasses or contact lenses to see things up close after healing from LASIK surgery?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","All of the time;Most of the time;Some of the time;Hardly ever;Never","1;2;3;4;5","","","","","A07","How much of the time do you expect to use glasses or contact lenses to see things up close after healing from LASIK surgery?","","LASIK Quality of Life Collaboration Project: PRGCCLLK v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mJ4hP4Ck7","","","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikOPTMISTCScl","Optimistic about future","Unique Data Element","1.0","I'm always optimistic about my future.","I'm always optimistic about my future.","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","I agree a lot;I agree a little;I neither agree nor disagree;I disagree a little;I disagree a lot","1;2;3;4;5","","","","Please answer the following question about yourself. Try not to let your response to a previous question influence your response to this question. There are no right or wrong answers.","A96","I'm always optimistic about my future.","","LASIK Quality of Life Collaboration Project: PROPTIM v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","71yacGUgX","","OPTMISTC","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikHLOOWBVScl","Halos with correction","Unique Data Element","1.0","In the last 7 days, how often have you seen halos when you are wearing your best vision correction (glasses or contact lenses)?","In the last 7 days, how often have you seen halos when you are wearing your best vision correction (glasses or contact lenses)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","Never;Rarely;Sometimes;Often;Always;I do not use glasses or contact lenses","1;2;3;4;5;6","","","","The next few questions are about halos. By halos, we mean seeing a fuzzy cloud of light around lighted objects, such as the ones shown in the images below. These images may not represent exactly what you see and your symptoms may be more or less severe than what is shown.","A62","In the last 7 days, how often have you seen halos when you are wearing your best vision correction (glasses or contact lenses)?","","LASIK Quality of Life Collaboration Project: PRHALCOR v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","mk3ulNGxQ","","HLOOWBV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikWORKHOBScl","Difficulty with hobbies","Unique Data Element","1.0","How much difficulty do you have doing work or hobbies that require you to see well up close, such as cooking, fixing things around the house, sewing using hand tools, or working with a computer?","How much difficulty do you have doing work or hobbies that require you to see well up close, such as cooking, fixing things around the house, sewing using hand tools, or working with a computer?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never try to do these activities because of vision;Never do these activities for other reasons","1;2;3;4;5;6","","","","","A23","How much difficulty do you have doing work or hobbies that require you to see well up close, such as cooking, fixing things around the house, sewing using hand tools, or working with a computer?","","LASIK Quality of Life Collaboration Project Pre Op: PRHOBBY v1.0;LASIK Quality of Life Collaboration Project Post Op: POHOBBY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1CZadJeX","","WORK_HOB","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikLGHTHALOScl","See starburst or halos","Unique Data Element","1.0","How often when you are around bright lights at night do you see starbursts or halos that bother you or make it difficult to see?","How often when you are around bright lights at night do you see starbursts or halos that bother you or make it difficult to see?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5","All of the time;Most of the time;Some of the time;A little of the time;None of the time","1;2;3;4;5","","","","","A31","How often when you are around bright lights at night do you see starbursts or halos that bother you or make it difficult to see?","","LASIK Quality of Life Collaboration Project Pre Op: PRSTRHLO v1.0;LASIK Quality of Life Collaboration Project Post Op: POSTRHLO v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XyacGYJxm","","LGHTHALO","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"VisitDate","Visit date","Common Data Element","1.0","Interview or visit date (actually the date when data in the form were captured)","Interview or visit date","Date or Date & Time","","Free-Form Entry","","","","","","","","","GENERAL:
Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).","GENERAL:
Data Sharing Instructions: When date/time data are prepared for aggregation or sharing they should be converted to the format specified by ISO 8601, YYYY-MM-DDThh:mm:ss.","","","GENERAL:
21 CFR 50.20 General requirements for informed consent A Guide to Informed Consent - Information Sheet: Guidance for Institutional Review Boards and Clinical Investigators Contents (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126431.htm#general)","Adult and Pediatric","Protocol Experience.Participant/Subject Identification, Eligibility, and Enrollment","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","Visit date","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","","","NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov","2016-01-26","2016-01-27","Published",,
"LasikNIGHTDRVScl","Difficulty driving night","Unique Data Element","1.0","Because of your vision, how much difficulty do you have driving at night?","Because of your vision, how much difficulty do you have driving at night?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2;3;4;5;6","No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never drive at night because of vision;Never drive at night for other reasons","1;2;3;4;5;6","","","","When you answer the question below, think about your vision with the vision correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all.","A15","Because of your vision, how much difficulty do you have driving at night?","","LASIK Quality of Life Collaboration Project Pre Op: PRDRVNGT v1.0;LASIK Quality of Life Collaboration Project Post Op: PODRVNGT v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XkxbuSAJQ","","NIGHTDRV","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikNOINTRSTScl","Little interest doing things","Unique Data Element","1.0","Over the last 2 weeks how often have you been bothered by having little interest or please in doing things?","Over the last 2 weeks how often have you been bothered by having little interest or please in doing things?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3","Not at all;Several days;More than half the days;Nearly every day","0;1;2;3","","","","","A87","Over the last 2 weeks, how often have you been bothered by having little interest or please in doing things?","","LASIK Quality of Life Collaboration Project: PRINTRST v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","X1GeYlIxQ","","NOINTRST","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikGRITEYEScl","Eyes feel gritty","Unique Data Element","1.0","Eyes that feel gritty?","Eyes that feel gritty?","Alphanumeric","","Single Pre-Defined Value Selected","","","0;1;2;3;4","None of the time;Some of the time;Half of the time;Most of the time;All of the time","0;1;2;3;4","","","","During the last 7 days, how often have you experienced:","A78","During the last 7 days, how often have you experienced: Eyes that feel gritty?","","LASIK Quality of Life Collaboration Project: PRGRITTY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","QkrhVgLeX","","GRITEYE","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
"LasikEMPLOYEDInd","Currently employed","Unique Data Element","1.0","Are you currently employed (working for pay)?","Are you currently employed (working for pay)?","Alphanumeric","","Single Pre-Defined Value Selected","","","1;2","Yes;No","1;2","","","","","A37","Are you currently employed (working for pay)?","","LASIK Quality of Life Collaboration Project: PREMPLOY v1.0","Adult","Assessments and Examinations.Laboratory Tests and Biospecimens/Biomarkers","","","","","","","","","","","","","","","","Supplemental","","","","","","","","","","","","","","","","","","","XyOosKye7","","EMPLOYED","NIH/NEI","","","","","NIH/CIT/BRICS","","","2018-06-07","2018-06-11","Published",,
